2025-12-26 13:14:10,779 INFO    MainThread:13624 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_setup.py:_flush():80] Configure stats pid to 13624
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_setup.py:_flush():80] Loading settings from C:\Users\User\.config\wandb\settings
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_setup.py:_flush():80] Loading settings from C:\Users\User\Desktop\Yoga-Mat-master\wandb\settings
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_init.py:setup_run_log_directory():714] Logging user logs to C:\Users\User\Desktop\Yoga-Mat-master\wandb\run-20251226_131410-bf8r5lca\logs\debug.log
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to C:\Users\User\Desktop\Yoga-Mat-master\wandb\run-20251226_131410-bf8r5lca\logs\debug-internal.log
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_init.py:init():841] calling init triggers
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-26 13:14:10,780 INFO    MainThread:13624 [wandb_init.py:init():889] starting backend
2025-12-26 13:14:13,094 INFO    MainThread:13624 [wandb_init.py:init():892] sending inform_init request
2025-12-26 13:14:13,113 INFO    MainThread:13624 [wandb_init.py:init():900] backend started and connected
2025-12-26 13:14:13,137 INFO    MainThread:13624 [wandb_init.py:init():970] updated telemetry
2025-12-26 13:14:13,138 INFO    MainThread:13624 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-26 13:14:15,251 INFO    MainThread:13624 [wandb_init.py:init():1041] starting run threads in backend
2025-12-26 13:14:15,415 INFO    MainThread:13624 [wandb_run.py:_console_start():2521] atexit reg
2025-12-26 13:14:15,415 INFO    MainThread:13624 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-26 13:14:15,415 INFO    MainThread:13624 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-26 13:14:15,416 INFO    MainThread:13624 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-26 13:14:15,420 INFO    MainThread:13624 [wandb_init.py:init():1081] run started, returning control to user process
2025-12-26 13:16:57,226 INFO    wandb-AsyncioManager-main:13624 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-26 13:16:57,226 INFO    wandb-AsyncioManager-main:13624 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
